Event Name,Period of occurring,Affected areas,Gravity,Speed_wind_max_kmh,Diameter_max_km,Air preassure_min_mbar,month,year,landfall
Gombe (March),8 to 14 March 2022,Nampula,Category 3,183,593,959,Mar,2022,3/11/2022
Gombe (March),8 to 14 March 2022,Niassa,Category 3,183,593,959,Mar,2022,3/11/2022
Gombe (March),8 to 14 March 2022,Tete,Category 3,183,593,959,Mar,2022,3/11/2022
Ana,20 to 25 January 2022,Nampula,Tropical Storm,93,611,994,Jan,2022,1/24/2022
Ana,20 to 25 January 2022,Zambezia,Tropical Storm,93,611,994,Jan,2022,1/24/2022
Ana,20 to 25 January 2022,Tete,Tropical Storm,93,611,994,Jan,2022,1/24/2022
Iman,2 to 11 March 2021,Nampula,Tropical Storm,65,648,990,Mar,2021,3/5/2021
Guambe,11 to 22 February 2021,Gaza,Category 2,161,1185,957,Feb,2021,2/17/2021
Guambe,11 to 22 February 2021,Inhambane,Category 2,161,1185,957,Feb,2021,2/17/2021
Guambe,11 to 22 February 2021,Sofala,Category 2,161,1185,957,Feb,2021,2/17/2021
Eloise,11 to 27 January 2021,Nampula,Category 2,157,611,965,Jan,2021,1/23/2021
Eloise,11 to 27 January 2021,Zambezia,Category 2,157,611,965,Jan,2021,1/23/2021
Eloise,11 to 27 January 2021,Sofala,Category 2,157,611,965,Jan,2021,1/23/2021
Eloise,11 to 27 January 2021,Gaza,Category 2,157,611,965,Jan,2021,1/23/2021
Kenneth,21 to 28 April 2019,Cabo Delgado,Category 4,226,111,934,Apr,2019,4/25/2021
Idai,4 to 16 March 2019,Zambezia,Category 4,213,185,940,Mar,2019,3/14/2019
Idai,4 to 16 March 2019,Nampula,Category 4,213,185,940,Mar,2019,3/14/2019
Idai,4 to 16 March 2019,Niassa,Category 4,213,185,940,Mar,2019,3/14/2019
Idai,4 to 16 March 2019,Sofala,Category 4,213,185,940,Mar,2019,3/14/2019
Idai,4 to 16 March 2019,Manica,Category 4,213,185,940,Mar,2019,3/14/2019
